owner_name,property_address,apn,last_sale_value,last_sale_date,property_mail_address,property_mail_city,matched_entity_name,matched_entity_type,entity_address,entity_city,entity_state,entity_ein,ppp_borrower_name,ppp_borrower_city,ppp_borrower_state,ppp_amount,ppp_loan_number,ppp_loan_status,ppp_lender,ppp_lender_city,ppp_lender_state,ppp_date_approved
HB LLC,9472 RAMBLER DR,149-053-07,1127000.0,06/04/2019,16340 75TH PL W,EDMONDS,,,,,,,HB LLC,LONG BEACH,CA,105100.0,9159537003,Paid in Full,East West Bank,PASADENA,CA,04/09/2020
HB LLC,9472 RAMBLER DR,149-053-07,1127000.0,06/04/2019,16340 75TH PL W,EDMONDS,,,,,,,HB LLC,LAS VEGAS,NV,34923.0,9479227101,Paid in Full,"Bank of America, National Association",CHARLOTTE,NC,04/15/2020
HB LLC,9472 RAMBLER DR,149-053-07,1127000.0,06/04/2019,16340 75TH PL W,EDMONDS,,,,,,,HB LLC,Las Vegas,NV,34922.0,6393578506,Paid in Full,"Bank of America, National Association",CHARLOTTE,NC,03/03/2021
HB LLC,9472 RAMBLER DR,149-053-07,1127000.0,06/04/2019,16340 75TH PL W,EDMONDS,,,,,,,HB LLC,Wichita,KS,30900.0,9402558300,Paid in Full,Community National Bank & Trust,CHANUTE,KS,01/30/2021
HB LLC,9472 RAMBLER DR,149-053-07,1127000.0,06/04/2019,16340 75TH PL W,EDMONDS,,,,,,,"HB, LLC",WICHITA,KS,22500.0,8938637003,Paid in Full,Community National Bank & Trust,CHANUTE,KS,04/09/2020
HB LLC,9472 RAMBLER DR,149-053-07,1127000.0,06/04/2019,16340 75TH PL W,EDMONDS,,,,,,,HB LLC,Denver,CO,16882.0,9984708601,Paid in Full,"Wells Fargo Bank, National Association",SIOUX FALLS,SD,03/26/2021
HB LLC,9472 RAMBLER DR,149-053-07,1127000.0,06/04/2019,16340 75TH PL W,EDMONDS,,,,,,,HB LLC,Fairfax,VA,8206.0,1009739005,Charged Off,"Leader Bank, National Association",ARLINGTON,MA,05/12/2021
OG RESIDENTIAL LLC,8940 COMET CIR,107-626-20,925000.0,09/12/2025,16404 SHADOW CT,LA MIRADA,,,,,,,OG RESIDENTIAL LLC,LA MIRADA,CA,4240.0,4283747709,Paid in Full,"Wells Fargo Bank, National Association",SIOUX FALLS,SD,05/01/2020
OG RESIDENTIAL LLC,8940 COMET CIR,107-626-20,925000.0,09/12/2025,16404 SHADOW CT,LA MIRADA,,,,,,,OG RESIDENTIAL LLC,La Mirada,CA,4222.0,1477508403,Paid in Full,"Wells Fargo Bank, National Association",SIOUX FALLS,SD,02/02/2021
EVERSTONE CAPITAL LLC,280 CAGNEY LN APT 116,930-775-74,900000.0,03/07/2025,268 AMBROISE,NEWPORT COAST,,,,,,,EVERSTONE CAPITAL LLC,NEW YORK,NY,146499.0,8854407410,Paid in Full,First Source Federal Credit Union,Rome,NY,05/19/2020
AMG GROUP LLC,807 MUIRFIELD DR,931-790-44,900000.0,06/27/2018,3 WOODLYN LN,BRADBURY,,,,,,,"AMG GROUP, LLC",Delaware,OH,20800.0,9538167304,Paid in Full,Live Oak Banking Company,WILMINGTON,NC,05/02/2020
CMR INVESTMENTS LLC,280 CAGNEY LN APT 115,930-775-73,810000.0,03/13/2026,1 PROSPECTOR DR,PARK CITY,,,,,,,"CMR INVESTMENTS, LLC",CUSTER,SD,20029.0,2013277101,Paid in Full,Black Hills FCU,Rapid City,SD,04/10/2020
WILDCAT PROPERTIES LLC,200 PACIFIC COAST HWY UNIT 345,939-506-09,600000.0,07/02/2010,4800 COLLEGE BLVD STE 204,FARMINGTON,,,,,,,WILDCAT PROPERTIES LLC,Greenfield Center,NY,4000.0,7630197807,Paid in Full,WebBank,SALT LAKE CITY,UT,06/03/2020
GOODWILL LLC,12838 PALM ST UNIT 2,930-174-57,475000.0,06/28/2019,411 KINGSTON CT,MT PROSPECT,,,,,,,GOODWILL LLC,BROOKFIELD,CT,8500.0,8008697210,Paid in Full,Union Savings Bank,DANBURY,CT,04/28/2020
GOODWILL LLC,12838 PALM ST UNIT 2,930-174-57,475000.0,06/28/2019,411 KINGSTON CT,MT PROSPECT,,,,,,,GOODWILL LLC,Brookfield,CT,7900.0,6074908305,Paid in Full,Union Savings Bank,DANBURY,CT,01/26/2021
GARDEN RANCH LLC,12888 WESTERN AVE,931-432-21,365000.0,06/12/2019,1166 REDFERN CT,CONCORD,,,,,,,GARDEN RANCH LLC,Colorado Springs,CO,19617.0,3583988508,Paid in Full,"JPMorgan Chase Bank, National Association",COLUMBUS,OH,02/24/2021
GARDEN RANCH LLC,12888 WESTERN AVE,931-432-21,365000.0,06/12/2019,1166 REDFERN CT,CONCORD,,,,,,,GARDEN RANCH LLC,COLORADO SPRINGS,CO,17807.0,2494187708,Paid in Full,"JPMorgan Chase Bank, National Association",CHICAGO,IL,05/01/2020
GALAXY MANAGEMENT LLC,1100 QUAIL ST STE 212,938-941-60,210000.0,08/29/2014,3 RIEZ,NEWPORT COAST,,,,,,,GALAXY MANAGEMENT LLC,Webster,MA,86400.0,3878868308,Paid in Full,bankHometown,OXFORD,MA,01/22/2021
GALAXY MANAGEMENT LLC,1100 QUAIL ST STE 212,938-941-60,210000.0,08/29/2014,3 RIEZ,NEWPORT COAST,,,,,,,"GALAXY MANAGEMENT, LLC",AUBURN,MA,86400.0,4632027007,Paid in Full,bankHometown,OXFORD,MA,04/04/2020
GALAXY MANAGEMENT LLC,1100 QUAIL ST STE 212,938-941-60,210000.0,08/29/2014,3 RIEZ,NEWPORT COAST,,,,,,,GALAXY MANAGEMENT LLC,Charlotte,NC,25777.5,3960078404,Paid in Full,First Horizon Bank,MEMPHIS,TN,02/05/2021
GALAXY MANAGEMENT LLC,1100 QUAIL ST STE 212,938-941-60,210000.0,08/29/2014,3 RIEZ,NEWPORT COAST,,,,,,,GALAXY MANAGEMENT LLC,CHARLOTTE,NC,18413.5,7033897208,Paid in Full,First Horizon Bank,MEMPHIS,TN,04/28/2020
GALAXY MANAGEMENT LLC,1100 QUAIL ST STE 212,938-941-60,210000.0,08/29/2014,3 RIEZ,NEWPORT COAST,,,,,,,"GALAXY MANAGEMENT, LLC",Conyers,GA,14188.0,8571178507,Exemption 4,Farmers and Merchants Bank,LAKELAND,GA,03/10/2021
JJ HOLDINGS LLC,20331 BLUFFSIDE CIR # A204,936-178-59,0.0,12/12/2019,6000 HACKBERRY CT,FRISCO,,,,,,,"J&J HOLDINGS, LLC",SHAKOPEE,MN,102390.0,3785727404,Paid in Full,"Bank of America, National Association",CHARLOTTE,NC,05/08/2020
SDR LLC,6561 SORENTO CIR,145-181-09,0.0,,18437 STONEGATE LN,ROWLAND HEIGHTS,,,,,,,"SDR, LLC",LARAMIE,WY,87900.0,2870107308,Paid in Full,ANB Bank,DENVER,CO,04/29/2020
SDR LLC,6561 SORENTO CIR,145-181-09,0.0,,18437 STONEGATE LN,ROWLAND HEIGHTS,,,,,,,SD&R LLC,SOUTHLAKE,TX,69600.0,7365867010,Paid in Full,Origin Bank,CHOUDRANT,LA,04/07/2020
SDR LLC,6561 SORENTO CIR,145-181-09,0.0,,18437 STONEGATE LN,ROWLAND HEIGHTS,,,,,,,SD&R LLC,Southlake,TX,69600.0,7441038301,Paid in Full,Origin Bank,CHOUDRANT,LA,01/28/2021
DEVPRI HOSPITALITY LLC,16561 PACIFIC COAST HWY,178-516-13,0.0,,16555 PACIFIC COAST HWY,SUNSET BEACH,,,,,,,DEVPRI HOSPITALITY LLC,Sunset Beach,CA,67100.0,1538328609,Paid in Full,PCB Bank,LOS ANGELES,CA,03/13/2021
PARS LLC,200 HARBOR WOODS PL,934-040-58,0.0,06/14/2018,3117 S COLUMBIA CIR,TULSA,,,,,,,PARS LLC.,Chula Vista,CA,54442.0,3368528409,Paid in Full,"JPMorgan Chase Bank, National Association",COLUMBUS,OH,02/04/2021
DEVPRI HOSPITALITY LLC,16561 PACIFIC COAST HWY,178-516-13,0.0,,16555 PACIFIC COAST HWY,SUNSET BEACH,,,,,,,DEVPRI HOSPITALITY LLC,SUNSET BEACH,CA,47900.0,9612627005,Paid in Full,PCB Bank,LOS ANGELES,CA,04/09/2020
